ID,Barcode,ProductName,Category,SearchDate,BranchID,Branch Name,ItemFoundStatus
2742,6223004037658,Cherry Candle,,2025-03-16 00:44:02.020,3,Heliopolis,Not Found
2743,6223004037658,Cherry Candle,,2025-03-16 00:44:02.567,3,Heliopolis,Not Found
2744,6223004037658,Cherry Candle,,2025-03-16 00:44:04.277,3,Heliopolis,Not Found
2745,6223004037658,Cherry Candle,,2025-03-16 00:44:05.440,3,Heliopolis,Not Found
2746,6223004037658,Cherry Candle,,2025-03-16 00:44:06.063,3,Heliopolis,Not Found
2747,6223004037658,Cherry Candle,,2025-03-16 00:44:08.297,3,Heliopolis,Not Found
2748,6223004037658,Cherry Candle,,2025-03-16 00:44:08.913,3,Heliopolis,Not Found
2749,6223004037658,Cherry Candle,,2025-03-16 00:44:10.613,3,Heliopolis,Not Found
2750,6223004037658,Cherry Candle,,2025-03-16 00:44:11.150,3,Heliopolis,Not Found
2751,6223004037658,Cherry Candle,,2025-03-16 00:44:12.850,3,Heliopolis,Not Found
2752,6223004037658,Cherry Candle,,2025-03-16 00:44:13.440,3,Heliopolis,Not Found
2753,6223004037658,Cherry Candle,,2025-03-16 00:44:15.313,3,Heliopolis,Not Found
2754,6223004037658,Cherry Candle,,2025-03-16 00:44:15.953,3,Heliopolis,Not Found
2755,6223004037658,Cherry Candle,,2025-03-16 00:44:17.813,3,Heliopolis,Not Found
